,BUILDING_BP1 길이옵셋,BUILDING_BP1 오픈/오버랩량 조정,BUILDING_Belt #1 - 길이,BUILDING_Belt #1 - 폭 ,BUILDING_Belt #2 - 길이,BUILDING_Belt #2 - 폭 ,BUILDING_Belt Offset,BUILDING_Belt 각도,BUILDING_Carcass #1 - 폭 ,BUILDING_Carcass #2 - 폭 ,BUILDING_Inner - 폭 ,BUILDING_PA - 길이,BUILDING_PA - 폭 ,BUILDING_Splice Lap-BP1-우,BUILDING_Splice Lap-BP1-좌,BUILDING_Splice Lap-BP1-중,BUILDING_Splice Lap-PA-우,BUILDING_Splice Lap-PA-좌,BUILDING_Splice Lap-PA-중,BUILDING_Splice Lap-벨트1-우,BUILDING_Splice Lap-벨트1-좌,BUILDING_Splice Lap-벨트1-중,BUILDING_Splice Lap-벨트2-우,BUILDING_Splice Lap-벨트2-좌,BUILDING_Splice Lap-벨트2-중,BUILDING_Splice Lap-트래드-우,BUILDING_Splice Lap-트래드-좌,BUILDING_Splice Lap-트래드-중,BUILDING_T/D 스티칭 압력 - Setting - 폭,BUILDING_Tread 길이 - 세팅,BUILDING_Tread 길이 - 실측,BUILDING_Tread 폭 - 세팅,BUILDING_Tread 폭 - 실측,BUILDING_WRK_DATE,BUILDING_멀티롤압력센-BP1-Ch1,BUILDING_멀티롤압력센-BP1-Ch2-우,BUILDING_멀티롤압력센-BP1-Ch2-좌,BUILDING_멀티롤압력센-BP1-Ch3-우,BUILDING_멀티롤압력센-BP1-Ch3-좌,BUILDING_멀티롤압력센-BP1-Ch4-우,BUILDING_멀티롤압력센-BP1-Ch4-좌,BUILDING_멀티롤압력센-BP1-Ch5-우,BUILDING_멀티롤압력센-BP1-Ch5-좌,BUILDING_멀티롤압력센-BP1-Ch6-우,BUILDING_멀티롤압력센-BP1-Ch6-좌,BUILDING_멀티롤압력센-BP1-Ch7-우,BUILDING_멀티롤압력센-BP1-Ch7-좌,BUILDING_재료길이-BP1 App CV,BUILDING_재료길이-BP1 FrontCV,BUILDING_재료길이-BP1 Mid CV,BUILDING_재료길이-BP1 Mid_우 CV,BUILDING_재료길이-BP1 컷팅 CV,BUILDING_재료길이-PA App CV,BUILDING_재료길이-PA 컷팅 CV,BUILDING_재료옵셋-BP1,BUILDING_재료옵셋-PA,gt_LWM_STD_WGT,gt_MRM_WGT,gt_STD_WGT,gt_UPM_STD_WGT
45891,100.0,86.0,1953.96,212.28,1960.04,199.12,4.7,27.0,621.05,441.6,403.9,1404.5,593.06,7.3,5.1,5.3,8.5,9.0,8.4,5.3,2.5,2.6,0.0,0.0,1.7,1.8,2.8,2.8,220.0,1983.0,1983.65,252.0,250.31,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1968.9,1938.5,1404.0,1404.2,1404.7,1394.0,1467.0,1415.0,1404.5,10.469,10.64,10.737,11.005
45892,100.0,86.0,1954.61,211.67,1960.04,198.61,4.7,27.0,621.07,441.6,402.88,1404.5,593.06,6.0,5.5,4.8,8.5,9.0,8.4,2.2,2.5,1.3,0.0,0.0,1.7,3.7,5.0,4.6,220.0,1983.0,1984.01,252.0,250.19,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1968.9,1934.9,1404.0,1403.6,1404.6,1396.4,1465.2,1415.0,1404.5,10.469,10.72,10.737,11.005
45893,100.0,86.0,1954.61,212.49,1959.42,199.56,4.7,27.0,621.07,441.6,402.88,1404.5,592.94,6.9,5.5,4.9,8.3,8.2,8.2,2.2,2.5,1.3,0.0,0.0,1.7,3.7,5.0,4.6,220.0,1983.0,1984.01,252.0,250.29,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1964.5,1934.9,1404.0,1405.7,1405.6,1396.4,1468.3,1415.0,1404.5,10.469,10.75,10.737,11.005
45894,100.0,86.0,1953.37,212.49,1959.42,199.56,4.7,27.0,621.05,441.6,403.39,1404.5,592.94,6.9,3.2,4.9,8.5,8.2,7.5,0.0,2.5,0.0,1.5,0.0,1.7,4.1,3.2,2.8,220.0,1983.0,1983.29,252.0,250.41,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1967.4,1936.7,1404.2,1405.7,1405.6,1395.5,1468.3,1415.0,1404.5,10.469,10.7,10.737,11.005
45895,100.0,86.0,1952.44,211.76,1960.04,198.65,4.7,27.0,621.12,441.6,403.9,1404.5,592.66,6.6,4.2,8.1,8.5,8.1,8.2,3.8,2.5,2.0,1.5,0.0,1.7,4.1,2.2,2.8,220.0,1983.0,1984.01,252.0,250.41,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1990.3,1936.7,1404.3,1403.8,1405.0,741.3,1465.7,1415.0,1404.5,10.469,10.69,10.737,11.005
45896,100.0,86.0,1952.38,212.42,1960.04,199.0,4.7,27.0,621.12,441.6,403.9,1404.5,592.57,4.2,4.2,8.1,8.3,8.1,8.2,3.8,2.8,2.0,0.0,0.0,0.0,3.7,2.2,2.2,220.0,1983.0,1984.36,252.0,250.26,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1990.3,1934.9,1404.9,1404.6,1404.2,836.7,1465.5,1415.0,1404.5,10.469,10.69,10.737,11.005
45897,100.0,86.0,1952.62,212.42,1960.04,199.0,4.7,27.0,621.07,441.6,403.9,1404.5,592.92,6.8,4.6,5.0,7.9,9.1,8.8,1.5,2.8,1.3,0.0,0.0,0.0,5.0,5.0,4.1,220.0,1983.0,1984.36,252.0,250.2,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1970.5,1934.9,1405.4,1405.1,1405.4,836.7,1466.4,1415.0,1404.5,10.469,10.71,10.737,11.005
45898,100.0,86.0,1953.16,211.98,1958.77,198.92,4.7,27.0,621.07,441.6,404.91,1404.5,592.92,6.8,4.6,5.0,8.3,9.1,8.8,4.1,3.4,2.9,0.6,0.3,0.7,5.0,5.0,4.1,220.0,1983.0,1984.01,252.0,250.19,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1971.0,1934.9,1405.4,1405.1,1405.4,696.2,1476.2,1415.0,1404.5,10.469,10.73,10.737,11.005
45899,100.0,86.0,1953.16,212.79,1959.95,199.38,4.7,27.0,621.02,441.6,402.88,1404.5,592.91,6.0,3.7,4.4,8.3,7.5,7.2,4.1,3.4,2.9,0.6,0.0,0.4,2.2,3.2,4.1,220.0,1983.0,1983.65,252.0,250.3,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1971.0,1934.9,1404.8,1404.8,1405.4,696.2,1476.9,1415.0,1404.5,10.469,10.73,10.737,11.005
45900,100.0,86.0,1953.86,212.79,1959.95,199.38,4.7,27.0,621.01,441.6,402.88,1404.5,592.91,7.3,5.3,5.5,9.2,9.7,9.5,2.2,3.1,0.0,0.0,0.0,1.0,1.8,2.2,4.1,220.0,1983.0,1984.01,252.0,250.37,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1967.3,1934.9,1404.8,1404.6,1405.0,656.0,1476.9,1415.0,1404.5,10.469,10.74,10.737,11.005
